OID_;CID;lat;lon
0;0;-0.18391;-78.47387
0;0;-0.18436;-78.47392
0;0;-0.18482;-78.47398
0;0;-0.18518;-78.47422
0;0;-0.18509;-78.47462
0;0;-0.18473;-78.47488
0;0;-0.18439;-78.47521
0;0;-0.18398;-78.4754
0;0;-0.18352;-78.47542
0;0;-0.18307;-78.47529
0;0;-0.18265;-78.47512
0;0;-0.18222;-78.47495
0;0;-0.18196;-78.47528
0;0;-0.18171;-78.47551
0;0;-0.18178;-78.47596
0;0;-0.18189;-78.4764
0;0;-0.18201;-78.47685
0;0;-0.18213;-78.47734
0;0;-0.18225;-78.47778
0;0;-0.18231;-78.47823
0;0;-0.18214;-78.47865
0;0;-0.18201;-78.47908
0;0;-0.18192;-78.47952
0;0;-0.18182;-78.47999
0;0;-0.18174;-78.48045
0;0;-0.18166;-78.4809
0;0;-0.18158;-78.4814
0;0;-0.18151;-78.48184
0;0;-0.18144;-78.4823
0;1;-0.1814;-78.48228
0;1;-0.18096;-78.48219
0;1;-0.1805;-78.48211
0;1;-0.18006;-78.48202
0;1;-0.17961;-78.48193
0;1;-0.17917;-78.48185
0;1;-0.17872;-78.48175
0;1;-0.17828;-78.48165
0;1;-0.17784;-78.48155
0;1;-0.1774;-78.48146
0;1;-0.17696;-78.48136
0;1;-0.17691;-78.481
0;1;-0.17701;-78.48056
0;1;-0.1771;-78.48012
0;1;-0.17719;-78.47968
0;1;-0.17728;-78.47923
0;1;-0.17737;-78.47878
0;1;-0.17747;-78.47834
0;1;-0.17756;-78.47791
0;1;-0.17712;-78.47781
0;1;-0.17668;-78.47771
0;1;-0.17624;-78.47761
0;1;-0.1758;-78.47751
0;1;-0.17536;-78.47739
0;1;-0.17491;-78.47727
0;1;-0.17448;-78.47716
0;1;-0.17403;-78.47706
0;1;-0.17358;-78.47697
0;1;-0.17315;-78.47684
0;1;-0.17272;-78.47669
0;1;-0.17229;-78.47655
0;1;-0.17186;-78.47642
0;1;-0.17143;-78.47628
0;1;-0.171;-78.47615
0;1;-0.17055;-78.47615
0;1;-0.17011;-78.47618
0;1;-0.16966;-78.47622
0;1;-0.16921;-78.47623
0;1;-0.16876;-78.47615
0;1;-0.16831;-78.47608
0;1;-0.16787;-78.47599
0;1;-0.16741;-78.47591
0;1;-0.16697;-78.47582
0;1;-0.16652;-78.47574
0;1;-0.16607;-78.47566
0;1;-0.16563;-78.47557
0;1;-0.16519;-78.47547
0;1;-0.16475;-78.47536
0;1;-0.16432;-78.47526
0;1;-0.16387;-78.47516
0;1;-0.16351;-78.475
0;1;-0.1636;-78.47456
0;1;-0.16369;-78.47411
0;2;-0.18385;-78.47382
0;2;-0.1843;-78.47391
0;2;-0.18475;-78.47401
0;2;-0.18496;-78.47387
0;2;-0.18465;-78.47356
0;2;-0.18475;-78.47313
0;2;-0.1851;-78.47288
0;2;-0.18552;-78.4727
0;2;-0.18592;-78.47286
0;2;-0.18632;-78.47305
0;2;-0.18673;-78.47325
0;2;-0.18714;-78.47344
0;2;-0.18755;-78.47359
0;2;-0.18797;-78.47375
0;2;-0.18844;-78.47383
0;2;-0.18888;-78.47393
0;2;-0.18909;-78.47368
0;2;-0.18906;-78.47323
0;2;-0.18906;-78.47278
0;2;-0.18906;-78.47233
0;2;-0.18951;-78.47226
0;2;-0.18981;-78.47204
0;2;-0.18984;-78.47159
0;2;-0.18986;-78.47113
0;2;-0.18988;-78.47066
0;2;-0.18993;-78.47022
0;2;-0.18999;-78.46977
0;3;-0.18409;-78.47382
0;3;-0.18453;-78.47391
0;3;-0.18495;-78.47404
0;3;-0.18524;-78.47436
0;3;-0.18496;-78.4747
0;3;-0.18474;-78.47496
0;3;-0.18436;-78.47521
0;3;-0.18394;-78.47537
0;3;-0.1835;-78.47539
0;3;-0.18305;-78.47532
0;3;-0.18263;-78.47515
0;3;-0.18222;-78.47501
0;3;-0.18194;-78.47536
0;3;-0.18198;-78.47559
0;3;-0.1824;-78.47575
0;3;-0.18282;-78.47591
0;3;-0.18325;-78.47607
0;3;-0.18364;-78.47628
0;3;-0.18402;-78.47653
0;3;-0.18437;-78.47681
0;3;-0.18473;-78.47708
0;3;-0.18507;-78.47737
0;3;-0.18545;-78.47765
0;3;-0.1858;-78.47794
0;3;-0.18585;-78.47837
0;3;-0.18578;-78.47882
0;3;-0.1856;-78.47917
0;3;-0.18515;-78.47911
0;3;-0.1847;-78.47905
0;3;-0.18425;-78.47899
0;3;-0.1838;-78.47892
0;3;-0.18335;-78.47885
0;3;-0.18289;-78.47878
0;3;-0.18245;-78.47871
0;3;-0.182;-78.47864
0;3;-0.18156;-78.47857
0;3;-0.18111;-78.47851
0;3;-0.18066;-78.47844
0;3;-0.18021;-78.47837
0;3;-0.17976;-78.47831
0;3;-0.17931;-78.47824
0;3;-0.17885;-78.47817
0;3;-0.17841;-78.47811
0;3;-0.17794;-78.47804
0;3;-0.1775;-78.47794
0;3;-0.17706;-78.47783
0;3;-0.17662;-78.47772
0;3;-0.17617;-78.4776
0;3;-0.17574;-78.47749
0;3;-0.1753;-78.47738
0;3;-0.17486;-78.47727
0;3;-0.17443;-78.47716
0;3;-0.17399;-78.47705
0;3;-0.17355;-78.47693
0;3;-0.1731;-78.47682
0;3;-0.17266;-78.47671
0;3;-0.17222;-78.4766
0;3;-0.17176;-78.47648
0;3;-0.17133;-78.47637
0;3;-0.17089;-78.47627
0;3;-0.17044;-78.4762
0;3;-0.16999;-78.47614
0;3;-0.16954;-78.47607
0;3;-0.16908;-78.476
0;3;-0.16863;-78.47593
0;3;-0.16818;-78.47587
0;3;-0.16773;-78.4758
0;3;-0.16729;-78.47573
0;3;-0.16684;-78.47567
0;3;-0.16639;-78.4756
0;3;-0.16594;-78.47553
0;3;-0.16569;-78.47569
0;3;-0.16563;-78.47614
0;3;-0.16556;-78.47659
0;3;-0.16547;-78.47704
0;3;-0.16539;-78.47748
0;3;-0.1653;-78.47793
0;3;-0.16521;-78.47837
